img_path,comm_snr,radar_feat,radar_max,radar_std,radar_peak_idx,channel_type,path_loss,shadow_fading,rain_attenuation,target_rcs,bandwidth,modulation,ber
combined_dataset\images\train2017\guatemala-volcano_00000000_post_disaster.png,9.916736155226133,18.77970656972577,60.96880893477086,21.37050705515696,216,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000000_pre_disaster.png,18.966444437552326,17.572005576269948,45.79997399781264,19.64956466651197,591,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000001_post_disaster.png,11.372518454104423,19.565028103961104,51.62577445658408,22.147900133595222,216,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000001_pre_disaster.png,19.252577434669163,17.73110219642371,50.04676142082837,19.775095243440887,572,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000002_post_disaster.png,9.539077324238178,18.74563658889465,56.9846276602015,21.296714671219902,365,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000002_pre_disaster.png,20.181607333800102,17.612919212995045,48.971222375670855,19.82173190136005,457,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000006_post_disaster.png,12.617419867645964,19.06139225382164,52.062827470524276,21.150299903547232,478,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000006_pre_disaster.png,21.796776571945983,17.613007747466234,53.99479978558825,19.904900563260266,518,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000007_post_disaster.png,14.851798499014677,17.520720481239564,58.45336844877261,19.80715074765676,48,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000007_pre_disaster.png,17.79530466756438,18.05496006307354,52.32715303537445,20.330522784611247,2,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000008_post_disaster.png,11.384222395856838,18.993037837738452,60.849417845711315,21.5289039822518,287,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000008_pre_disaster.png,18.059575661412694,16.57450022161275,50.740693752972945,18.608277258251164,476,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000010_post_disaster.png,12.11007473199136,18.2860854143467,60.95195146890787,20.903371175594366,132,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000010_pre_disaster.png,20.543645895519447,17.462330305527615,48.00624588849269,19.706817040285088,444,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000013_post_disaster.png,16.511671546541564,17.73582920582039,54.21744102771272,20.083612705343533,71,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000013_pre_disaster.png,19.755860147141917,18.457474668064005,51.828273996085294,20.58716166638355,442,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000015_post_disaster.png,12.99936856461909,19.251842102364755,54.61458603954753,21.612647851774106,230,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000015_pre_disaster.png,16.981107709982467,19.021213588455147,51.75677374053337,21.51875839648525,485,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000016_post_disaster.png,12.086997636732065,18.209482285825423,47.66819030779882,20.60022469724345,418,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000016_pre_disaster.png,22.753995823740837,18.070641962769784,60.219181947329425,20.164684109241893,356,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000017_post_disaster.png,11.112932058719338,18.077024884857785,49.9780199717974,20.47920079030367,193,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000017_pre_disaster.png,19.16268201690461,18.63687745873959,56.687746399325455,21.02267028679062,261,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000018_post_disaster.png,7.659749484248451,19.519653206077713,62.45533590481606,22.33656861601682,11,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000018_pre_disaster.png,22.48789345865724,17.946647894236932,54.81335263071277,20.432507567845995,137,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000019_post_disaster.png,13.07913351827139,18.632981686685792,52.7849163323157,21.28201143509285,351,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000019_pre_disaster.png,19.48936178712313,18.172480112039,58.232263871524225,20.567233290860123,84,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000023_post_disaster.png,12.147254444473717,18.39714877507055,58.26111283567459,20.602576234088726,500,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000023_pre_disaster.png,21.096383520304656,18.3216030437499,61.54045583861285,20.820778180843266,527,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000024_post_disaster.png,14.277572827219672,18.85190927463517,50.11911558866839,21.320746477198668,199,unknown,-1,-1,-1,-1,-1,unknown,-1
combined_dataset\images\train2017\guatemala-volcano_00000024_pre_disaster.png,20.510402258169094,18.911828857882828,50.08101241887996,21.347654984181016,550,unknown,-1,-1,-1,-1,-1,unknown,-1
